name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svps,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,matchesPlayed
Sam Barry,0.0,0.0,21.9438740589,509.0,75.4444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Marc Rosset,0.913669064748,201.0,30.8050758572,73.5971223022,620.28057554,10.1582733813,6.5035971223,74.7841726619,42.5971223022,33.1223021583,15.1294964029,11.8201438849,3.74100719424,5.95683453237,139.0
Bob Borella,0.0,0.0,19.9397672827,1149.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Philippos Tsangaridis,0.0,0.0,18.1984941821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Musaad Al Jazzaf,0.0,0.0,18.2532511978,241.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Marcus Sarstrand,0.0,183.0,23.8642026009,320.6,96.6,1.4,1.4,25.6,13.8,8.6,4.2,4.2,1.4,3.6,5.0
Raoul Behr,0.0,0.0,25.7768651609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Nikos Rovas,0.0,0.0,25.4459274469,631.75,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Florian Mayer,2.91434689507,190.0,26.2575309217,62.7580299786,901.56745182,4.05139186296,1.70449678801,70.2805139186,43.5053533191,30.0792291221,13.4132762313,11.0107066381,3.54389721627,6.19271948608,467.0
Davide Sanguinetti,1.00338983051,188.0,30.9235605981,74.2711864407,552.945762712,5.28474576271,2.32542372881,77.006779661,43.9457627119,30.7694915254,15.9355932203,11.7186440678,4.20677966102,7.23389830508,295.0
Aljaz Bedene,0.407692307692,181.0,25.0809456115,91.8692307692,639.646153846,7.75384615385,3.03846153846,74.5461538462,41.8153846154,30.8153846154,15.6692307692,11.6076923077,3.67692307692,6.49230769231,130.0
Ben Fatael,0.0,0.0,18.1108829569,789.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
