name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,hand,wfactor
Sam Barry,0.0,0.0,21.6149144904,543.770889712,65.8226434067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.60362698504
Marc Rosset,1.06439190186,201.0,30.4931658631,66.3425777556,669.163042266,10.0433864942,6.46123135362,74.6517412729,42.4932631435,33.0455874671,15.1751745839,11.8392655573,3.70171554545,5.89020269211,1,305.81983539
Bob Borella,0.0,0.0,19.9397672827,1149.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.43656365692
Philippos Tsangaridis,0.0,0.0,18.0590816307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.72079104103
Musaad Al Jazzaf,0.0,0.0,18.1450221842,173.094342047,0.430582940416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8.50987795972
Marcus Sarstrand,0.0,183.0,23.6846972341,321.363281462,95.9218975955,1.83967176872,1.58617890877,29.3665469889,15.4541257722,9.92473676814,5.01202958627,4.88528315629,1.4594324788,3.91578606973,1,9.67646292727
Raoul Behr,0.0,0.0,25.4706848411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.4092629558
Romano Tatuhey,0.0,0.0,23.3214108203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.99628120042
Florian Mayer,1.89941575461,190.0,23.9361161498,60.5484660714,780.716818753,3.98750058202,1.84103655574,70.2005917035,43.2617480217,29.8014347925,13.3580545479,11.0060009039,3.42807242243,6.17531167651,1,238.033763085
Davide Sanguinetti,1.13717696486,188.0,30.0709815569,73.9022212178,544.696818808,5.54184449692,2.43812610602,76.2351992369,43.0558916861,30.3098920035,15.8447769569,11.6028593373,4.17674087204,7.19447615232,1,464.828799955
Aljaz Bedene,0.438500718703,181.0,24.529787177,103.818534755,593.482823135,7.22100598423,2.96674869942,70.3203414939,39.5036289647,29.0172362539,14.761901079,10.9293346963,3.48510792909,6.16392025797,1,21.823332009
Ben Fatael,0.0,0.0,18.1108829569,789.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.135335283237
Mohammed Al Nabhani,0.0,0.0,23.0339364877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.99256240084
Andrey Dernovskiy,0.0,0.0,18.9783971899,899.524443435,13.7483066271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23.6117681701
Hady Habib,0.0,0.0,16.8925393566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.270670566473
Rohan Bopanna,0.0,190.0,26.3161572697,314.789314657,99.3583414241,3.88096474628,1.27347753529,28.1767335725,15.0937287995,12.1210921856,6.3926722563,4.42507510062,1.7274689598,2.51009544072,1,32.5450878111
Igor Kunitsyn,0.78632158399,180.0,26.4406952553,97.2033013169,575.291405433,2.55895112265,1.9933759968,75.0932374777,44.4889698403,28.8262361703,15.2191870524,11.3774851322,4.48624583568,7.99839237695,1,124.873242449
Mohammed Faizal Bin Othman,0.0,0.0,22.9650924025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.818730753078
Mohammed Reza Tavakoli,0.0,0.0,28.2518822724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.71828182846
Ricardo Mena,0.0,0.0,32.7891541869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.04063633374
Alvaro Raposo De Oliveira,0.0,0.0,19.485284052,761.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.367879441171
Julien Benneteau,1.85626165499,185.0,25.7962517985,80.7168096719,680.230567441,4.89122197013,3.15117451892,76.9396024873,49.7040064603,33.6586526552,13.0938990666,11.9202952062,4.27586447284,7.39408779867,1,263.016732314
Valentin Rahmine,0.0,0.0,17.4784394251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.898657928234
Sunil Kumar,0.0,0.0,16.7310061602,1199.0,3.0,2.0,3.0,62.0,32.0,22.0,16.0,10.0,1.0,4.0,1,2.71828182846
Andrea Arnaboldi,0.0,0.0,27.748472115,193.660434241,272.109283423,4.52958272346,3.30403653363,94.2513170393,53.8728173152,35.329520344,19.7840002532,13.8041054252,6.78608272146,11.0245571475,2,1.26065581298
Saeid Ahmadvand,0.0,0.0,28.0410677618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.22140275816
Javier Garcia Sintes,0.0,0.0,22.3983572895,479.0,48.0,2.0,6.0,54.0,32.0,18.0,7.0,8.0,8.0,13.0,1,2.22554092849
Juan Giner,0.0,178.0,23.631228606,314.484959262,119.539623952,0.873253570025,1.81169578036,55.6074120499,35.9834685264,21.5374886333,10.8251152574,9.68858020103,2.12674642998,5.59288864728,1,9.67646292727
Nikola Cacic,0.0,0.0,25.6125941136,761.0,27.0,1.0,2.5,77.0,44.5,26.5,15.0,11.5,4.0,8.0,1,0.221606316725
Francesco Piccari,0.0,0.0,29.231077697,311.428552462,149.096347941,1.0,0.450166002688,47.1511620188,27.5016600269,13.7009960161,9.09966799462,8.45016600269,2.90033200538,7.35049800806,1,0.998140600211
Laurent Hild,0.0,0.0,21.1882272416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.49182469764
Michael Kohlmann,0.0869605390365,188.0,28.4223498306,180.714841786,244.701478136,5.10754636877,2.89682947023,64.1024076095,39.4079705692,27.7028667702,11.3194372128,9.96305493444,3.11848805624,5.74916433738,1,83.8135927206
Cecil Mamiit,0.0550036511705,173.0,25.7531769349,136.525308589,315.700147614,3.28052306566,2.66385309449,75.6069824947,43.7655776233,29.1950310675,15.4648483732,11.5318683664,4.88955696702,8.35369195503,1,198.763401514
Mubarak Al Harrasi,0.0,0.0,21.1741558521,1406.21098937,3.90033200538,1.90033200538,2.90033200538,57.6013280215,30.7009960161,18.1511620188,7.90033200538,7.45016600269,7.90033200538,13.0,2,0.201521111652
Gilbert Wong,0.0,0.0,19.5473483795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.03819948721
Gonzalo Escobar,0.0,0.0,26.073125915,482.14067672,101.554228499,0.562717206237,1.15020407309,18.6549758023,12.8437316017,8.68505140006,3.43044864407,2.93743700116,0.8427395784,1.48584419499,2,1.11005765081
Kento Takeuchi,0.0,0.0,26.7597535934,441.0,92.0,0.0,2.0,43.0,18.0,7.0,8.0,7.0,2.0,8.0,2,0.165298888222
Wisnu Adi Nugroho,0.0,0.0,18.850552411,1799.59668547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.25607955391
Renzo Olivo,0.0,0.0,23.666677858,179.801094579,342.872020915,4.14411648132,5.67479862433,84.408624962,49.1966518018,34.1958291286,17.0908005239,12.2814267653,4.89708099823,8.05455294082,1,3.19304534964
Antonio Veic,0.0,180.0,22.9993326006,196.164647013,280.847368843,2.78551041193,2.62305267609,69.907301823,42.6898123238,27.7887505451,12.551100494,10.9929910375,4.10771567401,7.77580676076,1,10.4802078433
Stefan Kozlov,0.0,0.0,17.3439075437,488.907382816,168.188022332,3.02075722987,3.97537133976,66.1777735573,33.0914374481,21.6080614277,14.0720257038,10.0369411377,5.55660214796,9.99830171585,1,1.1918817645
John Hui,0.0,0.0,23.7480380554,462.095401759,2.25083001344,0.274916998656,0.824750995969,13.7458499328,6.32309096909,3.57392098253,3.02408698522,2.19933598925,1.09966799462,2.19933598925,1,8.09531945777
Rihards Emulins,0.0,0.0,19.8877481177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.670320046036
Mike Urbanija,0.0,0.0,24.5793736758,581.347177954,51.2508300134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.300634171458
Felix Mantilla,2.42985653667,180.0,27.5740469117,60.5571679767,694.757488514,2.7112234385,2.66473445254,73.3559173906,44.0727257448,29.385275203,14.7813911348,11.3721188022,4.06756806434,7.14927116748,1,428.500943414
