name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,wfactor
Sam Barry,0.0,0.0,20.9658279032,613.052778454,47.9256208693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667601274814
Marc Rosset,1.26739512446,201.0,30.0847652583,56.593916188,743.08998232,9.93707381177,6.23965793193,74.3193010021,42.3780118866,33.0165473163,15.3013343223,11.8865872976,3.58003943223,5.69066108275,593.010923934
Bob Borella,0.0,0.0,19.9397672827,1149.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7781121979
Philippos Tsangaridis,0.0,0.0,17.8471933857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154521053402
Musaad Al Jazzaf,0.0,0.0,18.0313666417,101.573912931,0.252671425203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8731273138
Marcus Sarstrand,0.0,183.0,23.3171982186,322.94161522,94.526911176,2.74024457668,1.96786859676,37.0872771693,18.8458647539,12.6400327944,6.67598177021,6.28979378025,1.58168060681,4.56370611888,16.5439015843
Raoul Behr,0.0,0.0,25.2182216409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9592885835
Nikos Rovas,0.0,0.0,24.0889779331,656.78394636,20.9679163683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2796604667
Florian Mayer,1.04866717839,190.0,22.012333652,65.0056000053,666.751391964,4.05733870138,2.02856772635,70.8114703098,43.4174745053,29.9192532348,13.6596718148,11.0835184904,3.38959802511,6.13498844151,84.9983437972
Davide Sanguinetti,1.10586369638,188.0,29.0089197962,76.5609738763,511.312448515,6.02142876964,2.50552188164,74.6756919871,41.4139705413,29.4851939372,15.6932693292,11.4140926934,4.15771778247,7.15946351555,633.965682441
Aljaz Bedene,0.516729956366,181.0,23.5425033033,135.405535519,495.852201464,5.93161125345,2.72198426484,61.315000745,34.6693948628,25.3366035068,12.8435165311,9.38865666432,3.03722116225,5.31600290936,0.924904696299
Ben Fatael,0.0,0.0,18.1108829569,789.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00247875217667
Mohammed Al Nabhani,0.0,0.0,22.8238102449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.740489406418
Andrey Dernovskiy,0.0,0.0,18.6354589598,968.664071776,11.3648428436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.195141096
Hady Habib,0.0,0.0,16.8925393566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00495750435333
Rohan Bopanna,0.0,190.0,24.3366325262,272.049340232,81.0408404825,3.10906217457,0.848936255799,24.5294464675,11.7040282038,9.89881327925,5.9782236408,3.86697902061,1.87616638323,2.69434356222,15.8555132213
Igor Kunitsyn,0.60997072702,180.0,24.8239769851,123.123957516,420.542202158,2.66551189788,2.54071934507,79.4587740721,44.8367438702,28.8378926001,17.3476439995,11.8073839996,5.0464863636,8.81766878993,34.3392802092
Mohammed Reza Tavakoli,0.0,0.0,28.2518822724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38905609893
Ricardo Mena,0.0,0.0,32.0372844873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13533528324
Alvaro Raposo De Oliveira,0.0,0.0,19.485284052,761.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497870683679
Julien Benneteau,0.769438797584,185.0,23.5045048888,110.099270443,485.85894451,4.18805784035,3.09763711833,75.9754777347,48.1576017285,31.9863378379,12.976162037,11.6440468651,4.63054444205,8.00259323343,94.9520526699
Valentin Rahmine,0.0,0.0,17.4784394251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0995741367357
Sunil Kumar,0.0,0.0,16.7310061602,1199.0,3.0,2.0,3.0,62.0,32.0,22.0,16.0,10.0,1.0,4.0,7.38905609893
Nenad Zimonjic,0.0,190.0,25.9609222037,302.094382766,105.968985212,5.35052768879,3.13457069539,58.9796407244,36.0982256918,25.7207872059,11.6696527763,9.00403666393,3.10057618184,5.02058477033,31.1282133466
Vadim Kutsenko,0.0,180.0,24.1959705712,171.772303389,187.617577154,1.08210662843,1.66251826241,25.5233380551,14.0481406451,9.45213683912,5.33528870757,3.67540251005,1.37669639935,2.43744942745,87.7195079215
Javier Garcia Sintes,0.0,0.0,22.3983572895,479.0,48.0,2.0,6.0,54.0,32.0,18.0,7.0,8.0,8.0,13.0,2.71828182846
Juan Giner,0.0,178.0,23.153118112,313.476934509,114.482614792,0.613812010041,1.83569281922,59.7172717331,38.8155915811,21.8186642985,11.6949022253,10.2794544376,2.38618798996,6.39747329981,16.5439015843
Bruno Rosa,0.0,0.0,18.4065708419,1124.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Francesco Piccari,0.0,0.0,29.0782586113,280.257924476,153.08328873,1.0,0.26894142137,45.8825899496,25.6894142137,12.6136485282,9.46211715726,8.26894142137,2.53788284274,6.80682426411,0.185122351604
Laurent Hild,0.0,0.0,21.1882272416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
